"service_id","date","exception_type"
"1220_122001_20251002","20251013","2"
"1220_122007_20251002","20251013","1"
"1220_122001_20251002","20251103","2"
"1220_122007_20251002","20251103","1"
"1220_122001_20251002","20251124","2"
"1220_122007_20251002","20251124","1"
"1271_127101_20251002","20251013","2"
"1271_127107_20251002","20251013","1"
"1271_127101_20251002","20251103","2"
"1271_127107_20251002","20251103","1"
"1271_127101_20251002","20251124","2"
"1271_127107_20251002","20251124","1"
"1272_127201_20251002","20251013","2"
"1272_127207_20251002","20251013","1"
"1272_127201_20251002","20251103","2"
"1272_127207_20251002","20251103","1"
"1272_127201_20251002","20251124","2"
"1272_127207_20251002","20251124","1"
"1280_128001_20251002","20251013","2"
"1280_128007_20251002","20251013","1"
"1280_128001_20251002","20251103","2"
"1280_128007_20251002","20251103","1"
"1280_128001_20251002","20251124","2"
"1280_128007_20251002","20251124","1"
"1282_128201_20251002","20251013","2"
"1282_128207_20251002","20251013","1"
"1282_128201_20251002","20251103","2"
"1282_128207_20251002","20251103","1"
"1282_128201_20251002","20251124","2"
"1282_128207_20251002","20251124","1"
"1285_128501_20251002","20251013","2"
"1285_128507_20251002","20251013","1"
"1285_128501_20251002","20251103","2"
"1285_128507_20251002","20251103","1"
"1285_128501_20251002","20251124","2"
"1285_128507_20251002","20251124","1"
"1999_199901_20251002","20251013","2"
"1999_199907_20251002","20251013","1"
"1999_199901_20251002","20251103","2"
"1999_199907_20251002","20251103","1"
"1999_199901_20251002","20251124","2"
"1999_199907_20251002","20251124","1"
"7210_721001_20251002","20251013","2"
"7210_721007_20251002","20251013","1"
"7210_721001_20251002","20251103","2"
"7210_721007_20251002","20251103","1"
"7210_721001_20251002","20251124","2"
"7210_721007_20251002","20251124","1"
"7214_721401_20251002","20251013","2"
"7214_721407_20251002","20251013","1"
"7214_721401_20251002","20251103","2"
"7214_721407_20251002","20251103","1"
"7214_721401_20251002","20251124","2"
"7214_721407_20251002","20251124","1"
"7270_727001_20251002","20251013","2"
"7270_727007_20251002","20251013","1"
"7270_727001_20251002","20251103","2"
"7270_727007_20251002","20251103","1"
"7270_727001_20251002","20251124","2"
"7270_727007_20251002","20251124","1"
"7272_727201_20251002","20251013","2"
"7272_727207_20251002","20251013","1"
"7272_727201_20251002","20251103","2"
"7272_727207_20251002","20251103","1"
"7272_727201_20251002","20251124","2"
"7272_727207_20251002","20251124","1"
"7273_727301_20251002","20251013","2"
"7273_727307_20251002","20251013","1"
"7273_727301_20251002","20251103","2"
"7273_727307_20251002","20251103","1"
"7273_727301_20251002","20251124","2"
"7273_727307_20251002","20251124","1"
"7274_727401_20251002","20251013","2"
"7274_727407_20251002","20251013","1"
"7274_727401_20251002","20251103","2"
"7274_727407_20251002","20251103","1"
"7274_727401_20251002","20251124","2"
"7274_727407_20251002","20251124","1"
"7275_727501_20251002","20251013","2"
"7275_727507_20251002","20251013","1"
"7275_727501_20251002","20251103","2"
"7275_727507_20251002","20251103","1"
"7275_727501_20251002","20251124","2"
"7275_727507_20251002","20251124","1"
"7276_727601_20251002","20251013","2"
"7276_727607_20251002","20251013","1"
"7276_727601_20251002","20251103","2"
"7276_727607_20251002","20251103","1"
"7276_727601_20251002","20251124","2"
"7276_727607_20251002","20251124","1"
"7277_727701_20251002","20251013","2"
"7277_727707_20251002","20251013","1"
"7277_727701_20251002","20251103","2"
"7277_727707_20251002","20251103","1"
"7277_727701_20251002","20251124","2"
"7277_727707_20251002","20251124","1"
"7278_727801_20251002","20251013","2"
"7278_727807_20251002","20251013","1"
"7278_727801_20251002","20251103","2"
"7278_727807_20251002","20251103","1"
"7278_727801_20251002","20251124","2"
"7278_727807_20251002","20251124","1"
"7280_728001_20251002","20251013","2"
"7280_728007_20251002","20251013","1"
"7280_728001_20251002","20251103","2"
"7280_728007_20251002","20251103","1"
"7280_728001_20251002","20251124","2"
"7280_728007_20251002","20251124","1"
"7284_728401_20251002","20251013","2"
"7284_728407_20251002","20251013","1"
"7284_728401_20251002","20251103","2"
"7284_728407_20251002","20251103","1"
"7284_728401_20251002","20251124","2"
"7284_728407_20251002","20251124","1"
"7286_728601_20251002","20251013","2"
"7286_728607_20251002","20251013","1"
"7286_728601_20251002","20251103","2"
"7286_728607_20251002","20251103","1"
"7286_728601_20251002","20251124","2"
"7286_728607_20251002","20251124","1"
"7287_728701_20251002","20251013","2"
"7287_728707_20251002","20251013","1"
"7287_728701_20251002","20251103","2"
"7287_728707_20251002","20251103","1"
"7287_728701_20251002","20251124","2"
"7287_728707_20251002","20251124","1"
"7288_728801_20251002","20251013","2"
"7288_728807_20251002","20251013","1"
"7288_728801_20251002","20251103","2"
"7288_728807_20251002","20251103","1"
"7288_728801_20251002","20251124","2"
"7288_728807_20251002","20251124","1"
